Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0614036145891947,-0.0311590475123982,0.286261746786977,0,0,0,298.509233547966,16.4208301469345,1.71186117058143E-16,-2.93790138588193,29.6107636526538,-1.00527893408859E-15,29.8332638698603,0,0,0,0,0,0,package://model_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://model_urdf/meshes/base_link.STL,,base_link-1;主体框架-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_Link,1.60697218087869E-05,0.00116628369507032,-0.0451354129709601,0,0,0,0.364069888756909,0.00115200393636405,-5.4918442620808E-06,1.28438032282803E-06,0.000753500931575538,9.32157909548577E-05,0.000668038074921814,0,0,0,0,0,0,package://model_urdf/meshes/1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model_urdf/meshes/1_Link.STL,,轮子模块-2,Origin_1_joint,Axis_1_joint,1_joint,continuous,0.441995939294503,0.178840952487607,-0.0229999999999991,0,0,0,base_link,0,0,1,,,,,,,,,,,,
1wheel_Link,8.88178419700125E-16,-4.71844785465692E-16,2.77555756156289E-17,0,0,0,0.234111484545512,0.000164839103436489,1.78671052407495E-06,-3.49968625771008E-20,0.000294487629241806,-4.36087566108968E-19,0.00016481448512004,0,0,0,0,0,0,package://model_urdf/meshes/1wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://model_urdf/meshes/1wheel_Link.STL,,轮胎-4,Origin_1wheel_joint,Axis_1wheel_joint,1wheel_joint,continuous,0,0,-0.126,0,0,0,1_Link,-0.999115087651117,-0.042059976556111,0,,,,,,,,,,,,
2_Link,-1.95522219614275E-05,-0.00116623051064699,-0.0451354129709601,0,0,0,0.364069888756909,0.00115196758552763,-6.68168762785519E-06,-1.56272083948835E-06,0.000753537282411958,-9.32115401639264E-05,0.000668038074921814,0,0,0,0,0,0,package://model_urdf/meshes/2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model_urdf/meshes/2_Link.STL,,轮子模块-1,Origin_2_joint,Axis_2_joint,2_joint,continuous,0.441995939294505,-0.241159047512393,-0.0229999999999976,0,0,0,base_link,0,0,1,,,,,,,,,,,,
2wheel_Link,-7.7715611723761E-16,-5.55111512312578E-17,-2.77555756156289E-17,0,0,0,0.234111484545512,0.000164850929777312,2.17381284565927E-06,-6.0687362562351E-20,0.000294475802900982,-4.31286988801787E-19,0.00016481448512004,0,0,0,0,0,0,package://model_urdf/meshes/2wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://model_urdf/meshes/2wheel_Link.STL,,轮胎-3,Origin_2wheel_joint,Axis_2wheel_joint,2wheel_joint,continuous,0,0,-0.126,0,0,0,2_Link,-0.469475282854675,0.882945614853215,0,,,,,,,,,,,,
3_Link,1.14559204554832E-05,0.00116633813932027,-0.0451354129709601,0,0,0,0.364069888756909,0.00115204114999134,-3.91525557933936E-06,9.15620008164253E-07,0.00075346371794825,9.32201424379628E-05,0.000668038074921814,0,0,0,0,0,0,package://model_urdf/meshes/3_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model_urdf/meshes/3_Link.STL,,轮子模块-4,Origin_3_joint,Axis_3_joint,3_joint,continuous,-0.428004060705497,0.178840952487604,-0.0230000000000021,0,0,0,base_link,0,0,1,,,,,,,,,,,,
3wheel_Link,-4.44089209850063E-16,-3.60822483003176E-16,0,0,0,0,0.234111484545512,0.000164826996396241,1.27378490980699E-06,-2.67378742371781E-20,0.000294499736282053,-4.80888916955773E-19,0.00016481448512004,0,0,0,0,0,0,package://model_urdf/meshes/3wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://model_urdf/meshes/3wheel_Link.STL,,轮胎-2,Origin_3wheel_joint,Axis_3wheel_joint,3wheel_joint,continuous,0,0,-0.126,0,0,0,3_Link,-0.907981805842857,-0.419009594470513,0,,,,,,,,,,,,
4_Link,-1.06379015178959E-05,-0.00116634588711875,-0.0451354129709582,0,0,0,0.364069888756909,0.00115204644589235,-3.63570785126693E-06,-8.50239447108493E-07,0.000753458422047238,-9.32207616844879E-05,0.000668038074921815,0,0,0,0,0,0,package://model_urdf/meshes/4_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model_urdf/meshes/4_Link.STL,,轮子模块-3,Origin_4_joint,Axis_4_joint,4_joint,continuous,-0.428004060705495,-0.241159047512396,-0.0230000000000009,0,0,0,base_link,0,0,1,,,,,,,,,,,,
4wheel_Link,-5.55111512312578E-17,7.21644966006352E-16,3.60822483003176E-16,0,0,0,0.234111484545512,0.000164825273433677,1.18283716185713E-06,2.32577647904679E-20,0.000294501459244617,-4.52457267069688E-19,0.00016481448512004,0,0,0,0,0,0,package://model_urdf/meshes/4wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://model_urdf/meshes/4wheel_Link.STL,,轮胎-1,Origin_4wheel_joint,Axis_4wheel_joint,4wheel_joint,continuous,0,0,-0.126,0,0,0,4_Link,0.54221,0.84025,0,,,,,,,,,,,,
arm_Link,0.191064265563844,0.189272489662822,-0.123591835779442,0,0,0,14.0185899347046,0.0803961333344776,-0.0147701962245957,0.0157347050889354,0.0799889560140923,0.00505537325218257,0.0584494594785273,0,0,0,0,0,0,package://model_urdf/meshes/arm_Link.STL,1,1,1,1,0,0,0,0,0,0,package://model_urdf/meshes/arm_Link.STL,,机械臂-1/复件 D435双目摄像头^机械臂-2;机械臂-1/复件 双目摄像头固定2^机械臂-1;机械臂-1/复件 机械臂2^机械臂-2;机械臂-1/复件 机械臂2^机械臂-1;机械臂-1/复件 机械臂1^机械臂-1;机械臂-1/复件 机械臂3^机械臂-1;机械臂-1/复件 机械臂3^机械臂-2;机械臂-1/复件 机械臂4^机械臂-1;机械臂-1/复件 机械臂5^机械臂-1;机械臂-1/复件 机械臂6^机械臂-1;机械臂-1/复件 D435双目摄像头^机械臂-1;机械臂-1/复件 机械臂7^机械臂-1;机械臂-1/复件 机械臂7^机械臂-2,Origin_arm_joint,,arm_joint,fixed,0.04041,-0.058485,1.1182,0,0,0,base_link,0,0,0,,,,,,,,,,,,
